,,Do not make changes to the yellow columns. Changes should only be made in the final four columns shaded blue >>>>>>,,,,,,,,,,,,,,,Use these four columns to propose amendments,,,
Undergraduate,ELEC241,Programmable Logic Design,3,"Engineering, Science",,(12cp at 100 level or above) including (COMP115 or ELEC141 or ENGG141),,ELEC375,S2 Day,,Department of Engineering,No,none,none,no quota,No,"Prerequisite
When Offered","(12cp at 100 level or above) including COMP115
TBD - Unit replaced by ELEC242",ELEC141 and ENGG141 are retired,"Ediz Cetin
Byron Wilson"
Undergraduate,ELEC260,Introduction to Mechatronics,3,"Engineering, Science",,"COMP115 and (ENGG150 or ENGG170 or ELEC170) and (PHYS140 or PHYS106) and (MATH132 or MATH136)",,,S2 Day,,Department of Engineering,No,none,none,no quota,No,Prerequisite,COMP115 and (ENGG150 or ENGG170 or ELEC170) and (PHYS140 or PHYS106) and (MATH132 or MATH136)),Duplication of pre-requisites,"David Inglis
Byron Wilson"
Undergraduate,ELEC270,Linear Circuits and Devices,3,"Engineering, Science",,(ELEC166 or ELEC170(P) or ENGG150 or ENGG170) and (MATH133 or MATH136(P)),MATH235,"ENGG270, ELEC290",S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ELEC275,Nonlinear Circuits and Devices,3,"Engineering, Science",,(ELEC270 or ENGG270) and MATH235,,ELEC280,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ELEC295,Fundamentals of Energy Conversion and Storage,3,"Engineering, Science",,(MATH132 or MATH135) and ((PHYS106 and PHYS107) or (PHYS140 and PHYS143)),,,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ELEC310,Electronics Project,3,Science,,(ELEC324 or ELEC342(P) or ELEC343 or ELEC374 or ELEC375 or ELEC376) and permission by special approval,,ENGG300,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ELEC321,Communication Systems,3,"Engineering, Science",,ELEC240 and (STAT394 or MATH396) and (MATH232 or MATH235),,,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ELEC324,Feedback Control and Dynamic Systems,3,"Engineering, Science",,(ELEC240 or ELEC260) and (ELEC270 or ENGG270) and (MATH232 or MATH235),,COMP324,S1 Day,,Department of Engineering,No,ELEC624,none,no quota,No,,,,
Undergraduate,ELEC326,Mechatronic Systems,3,"Engineering, Science",,ELEC324 and ELEC260,,,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ELEC342,Computer Hardware,3,"Engineering, Science",,(39cp at 100 level or above) including ELEC241,,ELEC374,S1 Day,,Department of Engineering,No,none,none,no quota,No,Prerequisite,39cp at 100 level or above including (ELEC241 or ELEC242),New unit replacing ELEC241,"Ediz Cetin
Byron Wilson"
Undergraduate,ELEC343,Digital Systems Design,3,"Engineering, Science",,(39cp at 100 level or above) including ELEC241,,ELEC375,S2 Day,,Department of Engineering,No,ELEC643,none,no quota,No,Prerequisite,39cp at 100 level or above including (ELEC241 or ELEC242),New unit replacing ELEC241,"Ediz Cetin
Byron Wilson"
Undergraduate,ELEC345,Communication Networks,3,"Engineering, Science",,(39cp at 100 level or above) including COMP247(P),,,S1 Day,,Department of Engineering,No,ELEC645,none,no quota,No,,,,
Undergraduate,ELEC376,Electronic Devices and Systems,3,"Engineering, Science",,(39cp at 100 level or above) including ELEC275,,ELEC380,S2 Day,,Department of Engineering,No,ELEC676,none,no quota,No,,,,
Undergraduate,ELEC380,Wireless Technology and Systems,3,"Engineering, Science",,(39cp at 100 level or above) including ELEC275 ,,,TBD,,Department of Engineering,No,ELEC680,none,no quota,No,,,,
Undergraduate,ELEC385,Antennas and Propagation,3,"Engineering, Science",,6cp at 200 level including (ELEC270 or ENGG270),,,TBD,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ELEC395,Power Electronics,3,Engineering,,"ELEC275 and ELEC324
",,,S2 Day,,Department of Engineering,No,none,none,no quota,No,Prerequisite,39cp at 100 level or above including ENGG150 and ELEC270 ,Updating pre-requisites for new Major in Electrical Engineering,"Graham Town
Byron Wilson"
Undergraduate,ELEC426,Advanced Telecommunications Engineering,3,"Engineering, Science",,(60cp at 100 level or above) including (ELEC321(P) and ELEC345),,ELEC486,S1 Day,,Department of Engineering,No,ELEC626,none,no quota,No,,,,
Undergraduate,ELEC428,Software Defined Networking,3,"Engineering, Information Technology, Science",,(COMP347 or ELEC345) and COMP229,,,TBD,,Department of Engineering,No,none,none,no quota,No,"When Offered

",S1 Day,scheduling new unit,"Robert Abbas
Byron Wilson"
Undergraduate,ELEC446,Advanced Computer Engineering,3,"Engineering, Science",,(60cp at 100 level or above) including (ELEC342(P) and ELEC343),,,S1 Day,,Department of Engineering,No,ELEC646,none,no quota,No,"When Offered

",S2 Day,Adjusting offering to align with new thesis proposals,"Ediz Cetin
Byron Wilson"
Undergraduate,ELEC466,Advanced Mechatronic Engineering,3,"Engineering, Science",,(60cp at 100 level or above) including (ELEC326 and ELEC324),,,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ELEC476,Advanced Electronics Engineering,3,"Engineering, Science",,(60cp at 100 level or above) including ((ELEC342 or ELEC343) and ELEC376),,,S1 Day,,Department of Engineering,No,ELEC677,none,no quota,No,,,,
Undergraduate,ENGG100,Introduction to Engineering,3,Engineering,,,,,"S1 Day
S2 Day","
",Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ENGG120,Engineering Mathematics I,3,"Engineering, Information Technology, Science",,(HSC Mathematics Band 4-6 or Extension 1 Band E2-E4 or Extension 2) or MATH130,,"MATH135, MATH132",TBD,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ENGG125,Engineering Mathematics - II,3,"Engineering, Information Technology, Science",,ENGG120,,"MATH135, MATH132",TBD,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ENGG141,Digital Fundamentals and Numerical Techniques,3,"Engineering, Science",,,,"ELEC141, ELEC274",S2 Day,,Department of Engineering,No,none,none,no quota,No,"When Offered

",TBD,Resting unit as it is no longer specified in any programs.,"Rein Vesilo
Byron Wilson"
Undergraduate,ENGG150,Electrical and Mechanical Principles,3,"Engineering, Science",,(MATH132 or MATH135) and (PHYS140 or corequisite of PHYS106),,"ELEC166, ELEC170, ENGG170",S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ENGG200,Engineering Practice,3,"Engineering, Science",,ENGG100,,,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ENGG255,Data Analysis and Visualisation,3,Engineering,,COMP115 and ENGG150 and MATH135,,,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ENGG300,Engineering Project Practices,3,"Commerce, Engineering, Science",,((39cp at 100 level or above) including ENGG200) and (admission to BE or BE(Hons) or BEBA or BE(Hons)BA or BEBBA or BEBCom or BE(Hons)BCom or BEBSc or BE(Hons)BSc),,,S2 Day,,Department of Engineering,No,ENGG600,none,no quota,No,,,,
Undergraduate,ENGG400,Industry Experience,0,,PACE,(39cp at 100 level or above) including ENGG200,,ELEC400,"S1 External
S2 External
S3 External
WV External","None
None
None
",Department of Engineering,Yes,none,none,no quota,Yes,,,,
Undergraduate,ENGG411,Engineering Research Thesis,12,"Engineering, Science",,(75cp at 100 level or above) including (ENGG460 and (COMP434 or ELEC426 or ELEC436 or ELEC446 or ELEC466 or ELEC476 or ELEC486 or MECH401)),,"ELEC413, ELEC415, ENGG405, ENGG410, ENGG415","S1 Day
S2 Day","
",Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ENGG450,Systems Design and Engineering,3,Engineering,,(69cp at 100 level or above) including ENGG300 and admission to BE or BE(Hons) or BEBA or BE(Hons)BA or BEBBA or BEBCom or BE(Hons)BCom or BEBSc or BE(Hons)BSc,,ELEC450,S1 Day,,Department of Engineering,No,ENGG650,none,no quota,No,Prerequisite,(69cp at 100 level or above) including ENGG300,Prerequisites are overdefined and this is clearer to the student,"Rein Vesilo
Byron Wilson"
Undergraduate,ENGG460,Engineering Principles and Practice,3,Engineering,,(69cp at 100 level or above) including ENGG300 and (ENGG350 or corequisite of ENGG450),COMP434 or ELEC426 or ELEC436 or ELEC446 or ELEC466 or ELEC476 or ELEC486 or MECH401,ELEC460,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ENV118,Environmental Management for a Changing World,3,Science,,,,"GEOS114, GEOS118","S2 Day
S2 External","
none",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENV267,Australian Environmental Futures,3,Science,,GEOS114 or ENV118 or GEOS118,,"GEOS265, GEOS267","S2 Day
S2 External","
Compulsory",Department of Environmental Sciences,No,GEOP605,none,no quota,No,,,,
Undergraduate,ENVS117,Biophysical Environments,3,Science,,,,"ENVE117, GEOS117","S1 Day
S1 External","
Compulsory",Department of Environmental Sciences,No,ENVS602,none,no quota,No,,,,
Undergraduate,ENVS201,Introduction to Environmental Economics,3,Science,,18cp at 100 level or above,,"ENV201, ENVG201, GSE200","S1 Day
S1 External","
Compulsory",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENVS214,Climate Change,3,Science,Planet,18cp at 100 level or above,,"ENVE214, GEOS214","S2 Day
S2 External","
Compulsory",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENVS216,The Atmospheric Environment,3,Science,,ENVE117 or ENVS117 or GEOS117  or GEOS112 or 3cp in PHYS units at 100 level,,"ENVE216, GEOS216","S1 Day
S1 External","
None",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENVS237,Natural Hazards,3,Science,Planet,18cp at 100 level or above,,"ENVE237, GEOS237","S2 Day
S2 External","
None",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENVS264,Introduction to Geographic Information Science,3,Science,,COMP115 or COMP125 or ISYS100 or ISYS104 or STAT170 or STAT171,,"ENV264, GEOS264","S1 Day
S1 External","
None",Department of Environmental Sciences,No,none,none,no quota,No,Prerequisite,ENVS117 or COMP115 or COMP125 or ISYS100 or ISYS104 or STAT170 or STAT171,,Associate Professor Paul Beggs
Undergraduate,ENVS266,Earth Surface Processes,3,Science,,ENVE117 or ENVS117 or GEOS117 or GEOS112,,"ENVE266, GEOS266",S1 Day,Compulsory field trips,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENVS301,"Climate Change, Coasts and Oceans",3,Science,,(39cp at 100 level or above) including (ENVE216 or ENVS216 or GEOS216),,"ENVE301, GEOS301",S2 Day,,Department of Environmental Sciences,No,none,none,no quota,No,Name,"Marine Climate, Weather and Coastal Oceanography",,Associate Professor Paul Beggs
Undergraduate,ENVS302,Applied Climatology,3,Science,,(39cp at 100 level or above) including (ENVE216 or ENVS216 or GEOS216),,"ENVE302, GEOS325",S1 Day,,Department of Environmental Sciences,No,none,none,no quota,No,Name,Urban Climate and Air Quality,,Associate Professor Paul Beggs
Undergraduate,ENVS304,Integrated Climate Science,3,Science,PACE,(39cp at 100 level or above) including (ENVE301 or ENVS301 or ENVE302 or ENVS302 or GEOS301 or GEOS325),,ENVE304,S2 Day,,Department of Environmental Sciences,No,none,none,no quota,Yes,,,,
Undergraduate,ENVS338,Environmental Quality and Assessment,3,Science,,(39cp at 100 level or above) including [(ENVE266 or ENVS266 or GEOS266) and (ENVE339 or ENVS339 or ENVE340 or ENVS340 or ENVE341 or ENVS341)],,"ENVE336, ENVE338, GEOS398",S2 Day,Compulsory field trip,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENVS339,Fluvial Geomorphology and River Management,3,Science,PACE,(39cp at 100 level or above) including (ENVE266 or ENVS266 or GEOS266),,"ENVE334, ENVE339, GEOS334",S1 Day,Compulsory field trip,Department of Environmental Sciences,No,none,none,no quota,Yes,,,,
Undergraduate,ENVS340,Environmental Change,3,Science,,(39cp at 100 level or above) including (ENVS214(Cr) or ENVS266 or ENVE214(Cr) or ENVE266 or GEOS214(Cr) or GEOS266),,"ENVE337, ENVE340, GEOS399",S1 Day,Compulsory field trip,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENVS341,Advanced Environmental Earth Science,3,Science,,(39cp at 100 level or above) and permission by special approval,,"ENVE335, ENVE341, GEOS317","S1 Day
S2 Day
S3 Fieldwork","

Compulsory field trip",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENVS362,Environmental Management,3,Science,,39cp at 100 level or above including [(ENV267 or GEOS267 or ENVE214 or ENVS214) and (3cp in ENV or ENVE or ENVG or ENVS or GEOP units at 300 level)],,"ENVE361, ENVE362, GEOS328","S2 Day
S2 External","
Compulsory",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENVS363,Environmental Management Project,3,Science,PACE,(39cp at 100 level or above) including [(ENV267 or GEOS267) and (ENV300 or GEOP300 or ENVG340 or GEOP340 or ENVE362 or ENVS362)],,"ELS301, ENV301, EVSC301",S2 Day,,Department of Environmental Sciences,Yes,none,none,no quota,Yes,,,,
Undergraduate,ENVS383,Environmental Analysis Using Remote Sensing and GIS,3,Science,,(39cp at 100 level or above) including (ENV264 or ENVS264 or GEOS264),,"ENVE382, ENVE383, GEOS382, GEOS426","S2 Day
S2 External","
None",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Undergraduate,ENVS390,Applied GIS,3,Science,PACE,39cp at 100 level or above including (ENV264 or ENVS264 or GEOS264) and 3cp from ENVE or ENVG or ENV or GEOP units at 300 level,,"ENVG378, ENVG390, GEOS378, GEOS426",S2 Day,,Department of Environmental Sciences,No,none,none,no quota,Yes,,,,
Undergraduate,FOSC300,Participation and Community Engagement in Science and Engineering,3,"Medical Sciences, Science",PACE,(39cp at 100 level or above) and permission by special approval,,,"S1 Day
S1 External
S2 Day
S2 External","
Voluntary

Voluntary",,No,none,none,no quota,Yes,,,,
Undergraduate,FOSC301,Special Interest Unit 1,1,"Information Technology, Medical Sciences, Science",,(45cp at 100 level or above) and permission by special approval,,"FOAR301, FOAR302, FOBE301, FOBE302, FOHS301, FOHS302, FOSC302","S1 Day
S1 External
S2 Day
S2 External
S3 Day
WV Day
WV External","Voluntary





",,No,none,none,no quota,No,,,,
Undergraduate,FOSC302,Special Interest Unit 2,2,"Information Technology, Medical Sciences, Science",,(45cp at 100 level or above) and permission by special approval,,"FOAR301, FOAR302, FOBE301, FOBE302, FOHS301, FOHS302, FOSC301","S1 Day
S1 External
S2 Day
S2 External
S3 Day
WV Day
WV External","
Voluntary




",,No,none,none,no quota,No,,,,
Undergraduate,GEOS112,The Planet Earth,3,Science,Planet,,,,"S1 Day
S1 External","
Compulsory","Department of Earth and Planetary Sciences
Department of Environmental Sciences",No,none,none,no quota,No,,,,
Undergraduate,GEOS125,Earth Dynamics,3,Science,,,,GEOS115,"S2 Day
S2 External","
Compulsory",Department of Earth and Planetary Sciences,No,none,none,no quota,No,NCCW,,Delete entry,Mark Lackie
Undergraduate,GEOS126,Marine Geoscience,3,Science,Planet,,,GEOS116,S2 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,NCCW,,Delete entry,Mark Lackie
Undergraduate,GEOS204,"Life, the Universe and Everything",3,Science,Planet,12cp at 100 level or above,,,S1 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Undergraduate,GEOS205,Introduction to Geophysics,3,Science,,3cp from GEOS units at 100 level,,,S1 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,"When Offered

","S2 Day
S2 External",,Mark Lackie
Undergraduate,GEOS206,Marine Depositional Environments,3,Science,,GEOS125 or GEOS126,,,"S1 Day
S1 External","
",Department of Earth and Planetary Sciences,No,none,none,no quota,No,"When Offered

",S1 Day,,Mark Lackie
Undergraduate,GEOS207,Field and Laboratory Studies in Geoscience,3,Science,,GEOS125,,,S2 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,"When Offered

","S1 Day
S1 External",,Mark Lackie
Undergraduate,GEOS226,Introduction to Field Geology,3,Science,,12cp at 100 level or above,ENVE117 or ENVS117 or GEOS112 or GEOS115 or GEOS126 or GEOS204,,S3 External,Compulsory field trip,Department of Earth and Planetary Sciences,No,none,none,no quota,No,Corequisite,"ENVE117 or
ENVS117 or
GEOS112 or
GEOS125 or
GEOS126 or
GEOS204",,Mark Lackie
Undergraduate,GEOS251,"Minerals, Energy and the Environment",3,Science,People,12cp at 100 level or above,,,"S1 Day
S1 External","
None",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Undergraduate,GEOS272,Geology of Australia - Global Perspectives,3,Science,,GEOS125,,,"S2 Day
S2 External","
Compulsory field trips",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Undergraduate,GEOS305,Exploration and Environmental Geophysics I,3,Science,,6cp from GEOS or MATH or PHYS units at 200 level including GEOS205,,GEOS315,S1 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Undergraduate,GEOS306,Exploration and Environmental Geophysics II,3,Science,,GEOS305,,GEOS316,S2 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Undergraduate,GEOS307,Field Geology and Mapping,3,Science,,GEOS207 and GEOS226,3cp from GEOS units at 300 level,,WV External,Compulsory on campus dates and compulsory field trip,Department of Earth and Planetary Sciences,No,none,GEOS804,no quota,No,,,,
Undergraduate,GEOS309,Marine Sediments and Energy Resources,3,Science,,GEOS206 and GEOS226,,,"S2 Day
S2 External","
Compulsory",Department of Earth and Planetary Sciences,No,none,none,no quota,No,"When Offered

",S2 Day,,Simon George
Undergraduate,GEOS335,Marine Science Capstone,3,Science,,39cp at 100 level or above,6cp from (BIOL373 or GEOS309 or ENVE301) ,,S2 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Undergraduate,GEOS343,"Magmas, Ores and Geochemistry",3,Science,,GEOS207 and GEOS272,,GEOS314,"S1 Day
S1 External","
",Department of Earth and Planetary Sciences,No,none,none,no quota,No,"NCCW
When offered","Delete
S2 Day
S2 External",C&P request to Faculty: please advise on-campus attendnace for external offering - To Be Advised.,Mark Lackie
Undergraduate,GEOS344,Petrology and Geodynamics of the Lithosphere,3,Science,,GEOS207 and (GEOS226 or GEOS272),,,"S2 Day
S2 External","
",Department of Earth and Planetary Sciences,No,none,none,no quota,No,"When Offered

","S1 Day
S1 External",On-campus attendance for external offering - To Be advised,Mark Lackie
Undergraduate,GEOS345,Exploring the Earth's Interior: An introduction to Solid Earth Geophysics,3,Science,,GEOS385 and 3cp from PHYS or MATH units,,,S2 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Undergraduate,GEOS348,PACE in Earth and Planetary Sciences,3,Science,PACE,Permission by special approval,,,"S1 Day
S1 External","Non-compulsory field trip
Non-compulsory field trip",Department of Earth and Planetary Sciences,No,none,none,no quota,Yes,,,,
Undergraduate,GEOS373,Active Geosystems,3,Science,,Permission by special approval and GEOS206 and GEOS226,,,S3 External,Compulsory field trip,Department of Earth and Planetary Sciences,No,none,GEOS814,30,No,,,,
Undergraduate,GEOS375,Environmental Geology,3,Science,,ENVE266 or ENVS266 or GEOS206,GEOS207 and 3cp from GEOS units at 300 level,,2018,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,"When Offered

",C&P request to Faculty: Please advise 2018 offering - not offered 2018,Not offered 2018 - resting,Mark Lackie
Undergraduate,GEOS384,Earth and Planetary Sciences Special Interest Seminar,3,Science,,Permission by special approval,,,"S1 Day
S1 External
S2 Day
S2 External","
None

None",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Undergraduate,GEOS385,Global Tectonics,3,Science,,6cp in GEOS or MATH or PHYS units at 200 level including GEOS205,,,S1 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Undergraduate,HLTH108,Introduction to Anatomy,3,"Medical Sciences, Science",,,,"HLTH107, HLTH132, CHIR133","S1 Day
S2 External","
None",Department of Chiropractic,No,none,none,no quota,No,"On Campus Attendance

",Compulsory,,Louella Almeida
Undergraduate,HLTH109,Anatomy of Limbs and Back,3,"Medical Sciences, Science",,HLTH108(P),,,S2 Day,,Department of Chiropractic,No,"MEDI203, ",none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Undergraduate,HLTH201,Clinical Epidemiology and Biostatistics for Health Sciences,3,,,(12cp at 100 level or above) and admission to BChiroSc,,HLTH306,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Undergraduate,HLTH213,"Anatomy of Head, Neck and Trunk",3,"Medical Sciences, Science",,HLTH108(P),,HLTH307,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Undergraduate,HLTH214,Neuroanatomy,3,"Medical Sciences, Science",,HLTH108,,HLTH308,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Undergraduate,HLTH215,Principles in Health and Disease 1,3,Science,,BIOL115 and (HLTH108 or BIOL108),,,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,Prerequisite,"6 cps from either BIOL105, BIOL115 or HLTH108",New B Chiro Sc no longer contains BIOL115,H Jenkins
Undergraduate,HLTH304,"Radiographic Physics, Practice and Protection",3,"Medical Sciences, Science",,39cp at 100 level or above including 12cp at 200 level,,HLTH204,S1 Day,,Department of Chiropractic,No,CHIR606,none,no quota,No,,,,
Undergraduate,HLTH306,Research Methods for Health Sciences,3,Science,,39cp at 100 level or above,,,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,NCCW,HLTH201,HLTH201 is a new unit in the B Chiro Sc program. HLTH201 already has HLTH306 as NCCW,H Jenkins
Undergraduate,HLTH316,Principles in Health and Disease 2,3,Science,,(39cp at 100 level or above) including HLTH215,,HLTH208,S1 Day,,Department of Chiropractic,No,CHIR604,none,no quota,No,,,,
Undergraduate,HLTH317,Principles in Health and Disease 3,3,Science,,(39cp at 100 level or above) including HLTH215,,,S2 Day,,Department of Chiropractic,No,CHIR605,none,no quota,No,,,,
Undergraduate,HLTH333,Clinical Diagnosis,3,Science,,HLTH215 and HLTH316,HLTH317,HLTH303,S2 Day,,Department of Chiropractic,No,CHIR607,none,no quota,No,,,,
Undergraduate,ISYS100,IT & Society,3,"Information Technology, Science",Planet,,,"BCM102, COMP123, ISYS123","S1 Day
S1 Evening
S2 Day
S2 Evening","


",Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,ISYS104,Introduction to Business Information Systems,3,"Commerce, Information Technology, Science",,,,WISY104,"S1 Day
S1 Evening
S3 Day","

",Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,ISYS114,Introduction to Database Design and Management,3,"Commerce, Engineering, Information Technology, Science",,,,"COMP114, COMP124, COMP154, ISYS154","S2 Day
S2 Evening","
",Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,ISYS200,IT and the Future of Society,3,"Information Technology, Science",,12cp including (ISYS100 or 6cp in COMP or ISYS units at 100 level),,,S2 Day,,Department of Computing,No,ITEC600,none,no quota,No,,,,
Undergraduate,ISYS224,Database Systems,3,"Engineering, Information Technology, Science",,ISYS114,,"COMP224, ITEC201",S2 Day,,Department of Computing,No,ITEC624,none,no quota,No,,,,
Undergraduate,ISYS254,Applications Modelling and Development,3,"Engineering, Commerce, Information Technology, Science",,ISYS114,,,S1 Day,,Department of Computing,No,ITEC654,none,no quota,No,,,,
Undergraduate,ISYS301,Enterprise Systems Integration,3,"Engineering, Commerce, Information Technology, Science",,39cp at 100 level or above including (ISYS224 or ISYS254 or COMP255),,,S2 Day,,Department of Computing,No,ITEC601,none,no quota,No,,,,
Undergraduate,ISYS302,Management of IT Systems and Projects,3,"Engineering, Information Technology, Science",,39cp at 100 level or above including (6cp in COMP or ISYS or ACCG or STAT or BUS or BBA units at 200 level),,,S1 Day,,Department of Computing,No,ITEC602,none,no quota,No,,,,
Undergraduate,ISYS355,Information Systems Project,3,"Information Technology, Science",PACE,(39cp at 100 level or above) including (ISYS224 and ISYS254),9cp from (ISYS301 or ISYS302 or ISYS326 or ISYS360 or COMP326 or COMP344),"COMP331, COMP340, COMP345, COMP346, COMP365, ISYS346, ISYS358","S1 Day
S2 Day","
",Department of Computing,No,"ISYS358, COMP355, ",none,no quota,Yes,,,,
Undergraduate,ISYS358,Computing Industry Project,3,"Commerce, Information Technology, Science",PACE,(39cp at 100 level or above) including (COMP247 or COMP249 or COMP255 or COMP257 or ISYS254),6cp from 300 level units,"COMP331, COMP340, COMP346, ISYS346, ISYS355","S1 Day
S2 Day","
",Department of Computing,No,"COMP355, ISYS355",none,no quota,Yes,,,,
Undergraduate,ISYS360,Technology Management,3,"Commerce, Engineering, Information Technology, Science",,"39cp at 100 level or above
",,"ITEC300, MPCE360, MPCE361",S1 Evening,,Department of Computing,No,ITEC660,none,no quota,No,,,,
Undergraduate,MATH106,A View of Mathematics,3,Science,,Admission to BED(ECE)(0-12) or BEd(Prim) or BEd(Sec) or BEd(TESOL) or BTeach(0-5) or BTeach(ECS) or BABEd(Prim) or BADipEd or BA-PsychDipEd or GDipEd,,,"S2 Day
S2 External","
Compulsory",Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH109,"Sex, Chaos and other Mathematical Pleasures",3,Science,Planet,,,,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH111,Quantitative Methods for Science,3,Science,,,,,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH123,Mathematics 123,3,Science,Planet,,,"HSC Mathematics Band 5, HSC Mathematics Extension 1 Band E3, HSC Mathematics Extension 2 Band E2, MATH130-MATH388 (if completed previously to or concurrently with MATH123), WMAT123","S1 Day
S2 Day","
",Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH130,Mathematics IE,3,"Medical Sciences, Science",,,,MATH123,"FY1 Day
S1 Day
S2 Day","

",Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH132,Mathematics IA (Advanced),3,"Engineering, Medical Sciences, Science",,(HSC Mathematics Extension 1 Band E3-E4 or Extension 2) or admission to BSc in Advanced Mathematics or BAdvSc or BActStud,,MATH135,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH133,Mathematics IB (Advanced),3,"Engineering, Science",,MATH132 or MATH135(HD),,MATH136,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH135,Mathematics IA,3,"Engineering, Medical Sciences, Science",,(HSC Mathematics Band 4-6 or Extension 1 Band E2-E4 or Extension 2) or MATH130 or MATH123(HD),,MATH132,"S1 Day
S2 Day","
",Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH136,Mathematics IB,3,"Engineering, Science",,MATH132 or MATH135,,MATH133,"S1 Day
S2 Day","
",Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH188,Advanced Topics in Mathematics I,3,Science,,Admission to BAdvSc,MATH132,,FY1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH232,Mathematical Techniques,3,"Engineering, Science",,MATH133 or MATH136,,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH235,Mathematics IIA,3,"Engineering, Science",,MATH133 or MATH136,,,"S1 Day
S2 Day","
",Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH236,Mathematics IIB,3,"Engineering, Science",,MATH235,,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH288,Advanced Topics in Mathematics II,3,Science,,(MATH133 or MATH136(HD)) and permission by special approval,,MATH233,S1 Day,,Department of Mathematics,No,"MATH388, ",none,no quota,No,,,,
